Period,Exports,Imports,DirectInvestmentAssets,PortfolioInvestmentAssets,ReserveAssets,DirectInvestmentLiabilities,DirectPortfolioLiabilities,FinNetLending
1960.1,6228,5719,664,266,-159,89,197,140
1960.2,6631,5764,586,166,-175,102,27,244
1960.3,6484,5618,754,111,-740,93,138,575
1960.4,6598,5332,936,120,-1071,31,211,846
1961.1,6576,5306,774,135,-371,68,88,885
1961.2,6564,5360,551,246,320,86,-195,409
1961.3,6506,5709,737,124,212,58,589,994
1961.4,6759,5835,592,257,-768,99,227,545
1962.1,6743,5937,545,196,-427,89,133,564
1962.2,7340,6072,716,308,163,130,451,786
1962.3,6898,6121,811,87,-881,59,627,556
1962.4,6746,6224,779,378,-390,68,267,355
1963.1,6912,6121,980,522,-32,40,133,731
1963.2,7749,6292,874,536,-124,108,686,1104
1963.3,7291,6494,721,100,-227,105,169,682
1963.4,7670,6504,908,-53,5,-22,-35,1536
1964.1,8164,6556,822,-20,51,87,-681,1624
1964.2,8287,6740,970,206,-303,109,-114,1388
1964.3,8274,6909,1018,-2,-70,56,519,1486
1964.4,8619,7116,949,494,151,70,477,1419
1965.1,7815,6898,1606,198,-843,184,-726,1368
1965.2,9324,7697,1250,147,-69,-21,-496,1600
1965.3,8763,7779,1030,209,-42,147,-6,867
1965.4,9386,8248,1125,205,-271,104,598,1136
1966.1,9366,8495,1115,437,-424,143,-694,1007
1966.2,9874,8796,1373,115,-68,133,-37,1006
1966.3,9591,9269,1314,115,-83,-37,-253,772
1966.4,10096,9427,1616,53,5,187,7,876
1967.1,10482,9574,1186,265,-1027,169,517,802
1967.2,10359,9461,964,261,419,174,356,455
1967.3,10070,9585,1359,419,375,127,1013,642
1967.4,10423,10112,1297,363,180,228,1258,476
1968.1,10814,10793,981,449,-912,367,-19,-75
1968.2,11260,11041,1172,283,135,133,-192,235
1968.3,11784,11741,1573,318,572,148,1698,638
1968.4,11688,11717,1568,519,1075,160,2293,253
1969.1,10352,10618,1556,366,45,359,-19,-1069
1969.2,12819,12830,1663,498,298,267,-255,-468
1969.3,12645,12748,1548,546,685,261,2330,-472
1969.4,13404,12937,1192,139,151,376,-1337,888
1970.1,13493,13036,1958,306,386,592,2078,451
1970.2,14389,13456,2144,-80,-1025,212,2077,877
1970.3,14290,13764,1718,517,-802,357,3456,206
1970.4,14468,14132,1771,333,-1040,303,4099,576
1971.1,14968,14324,2033,408,-151,196,5534,-345
1971.2,14965,15481,1949,368,-839,140,7363,-2620
1971.3,15520,16032,2308,346,-1377,-293,10555,-5336
1971.4,14224,15142,1327,-9,18,324,5383,-2913
1972.1,16306,17674,2187,476,90,-136,4098,-782
1972.2,15851,17482,1481,318,60,373,1074,-2152
1972.3,16985,18117,2435,-203,-96,310,6092,-2430
1972.4,18082,19391,1644,28,-50,403,1859,-2312
1973.1,20053,20898,3785,-55,-213,631,10373,-2857
1973.2,21940,21909,2691,86,-11,835,-2174,1098
1973.3,23416,22323,2159,196,23,539,-594,1021
1973.4,25832,24212,2718,445,43,795,-2815,5223
1974.1,27803,26937,-900,600,246,1784,-278,-530
1974.2,30191,31705,1790,272,358,539,3269,421
1974.3,30262,32728,4385,282,1002,1610,-88,-1616
1974.4,32641,33820,3776,699,-139,828,2597,1241
1975.1,33934,30560,4022,1931,327,278,7263,7875
